,Actual,Predicted
11956,3.915098039215686,3.928440624848008
20479,3.5286666666666666,3.6194979939609766
6811,2.909090909090909,2.723977569490671
29718,3.113841354723708,3.27654317766428
13075,3.1500077519379843,3.05671663582325
23527,2.6320824208471265,2.992846116423607
5090,3.387027027027027,3.337444743141532
14033,3.1997249011857707,2.8032567258924246
8842,3.1872916666666664,3.0919758435338736
4365,3.688064516129032,217809734.77753603
31711,3.4044594594594595,3.4352036081254482
13362,3.0304545454545457,3.266601040959358
32959,3.512625,3.5518891271203756
8641,3.633333333333333,3.7063425593078136
3119,3.4776190476190476,12512680.281746091
26115,3.3679946524064173,3.3277606517076492
31330,3.642232558139535,3.689928438514471
14210,3.405217391304348,3.1107028424739838
13756,3.5238095238095237,3.4994960241019726
9549,3.281946308724832,63697326.948179215
37538,3.1299047619047617,3.4258881472051144
8963,3.3151679841897232,3.279017236083746
27548,3.7545614035087724,3.7557698022574186
26003,3.8885714285714283,12512680.776651505
30469,3.6502173913043476,3.5743298400193453
501,3.5692592592592596,4.1530513651669025
38553,3.7776666666666667,182442476.15863958
30817,2.928439130434782,2.746701579540968
4019,3.9134782608695655,12512679.880132597
14683,3.9484615384615385,4.0217975452542305
31016,3.5491176470588237,-972111049.6689074
7035,3.2055882352941176,57767841.23659037
27331,3.733142857142857,3.489429697394371
12642,3.4861599999999995,3.523679446429014
24408,2.634193548387097,3.4291075728833675
22371,3.105454545454545,2.9624930135905743
20376,3.52875,3.448481857776642
26925,3.4995454545454545,-940148.8087539375
31955,3.638260869565217,3.6134631037712097
20068,2.953448275862069,-209728401.84007284
30179,2.8112280538350487,2.6709655430167913
25736,3.6737254901960785,3.82186197116971
763,3.740021645021645,3.687536833807826
27648,3.245,3.283189609646797
38509,2.471707317073171,2.937314510345459
35740,3.520535714285714,3.80297989025712
6790,3.668333333333334,3.6208460964262486
27217,3.776629881422925,3.8458419144153595
34716,3.924090909090909,3.9171294532716274
37629,3.8558974358974365,3.046166118234396
37348,3.874360465116279,3.8725287206470966
38194,3.4896666666666665,64392252.655316204
11866,3.1068000000000002,3.0529231019318104
36905,2.9666250866250863,2.76535259000957
14552,2.935483870967742,379357001.08590215
207,3.736108870967742,3.671642269939184
30510,3.8186363636363634,4.182991396635771
10065,2.9393823621553885,2.649026932194829
6277,2.8802777777777777,-940148.7886687852
8808,3.394241666666667,-64538231.32575904
11107,3.240896990740741,3.3572444804012775
24305,2.9557333333333333,3.1427719481289387
2168,2.6352380952380954,-94516401.16612066
10138,2.8228124999999995,3.2644632272422314
30038,3.1921498226950353,3.1767344623804092
482,3.4733022774327122,132820246.4287649
21060,2.7144110275689224,2.814557299017906
29494,3.5677777777777777,3.3028181456029415
14630,3.751071428571428,3.8388747107237577
11044,3.303636363636364,3.724432449787855
25328,3.311334816462736,3.26059602573514
7738,3.505925925925926,3.2085282169282436
32185,3.950740740740741,3.920678559690714
31499,3.422686567164179,-940149.0456388462
6170,3.3213,490158326.67183805
12839,3.3280882352941177,3.3723441027104855
7836,3.2647826086956515,3.412872936576605
24459,3.4525,3.818813579156995
28118,3.281052631578947,3.2505957819521427
14230,3.84,3.8489487152546644
1539,3.4098245614035094,3.3367923460900784
12490,3.2443333333333326,2.831651333719492
1652,3.237627118644068,3.008339887484908
32155,3.390107526881721,3.3970403894782066
28119,3.2857142857142856,3.1429310105741024
34373,3.5140000000000002,3.0308773778378963
19409,3.9170833333333337,3.898764366284013
15371,3.889333333333333,3.848422806710005
16407,3.7604,3.8731405697762966
36554,3.19075,3.272575970739126
34297,3.8885714285714283,3.8009952008724213
7319,2.6511627906976742,3.171542461961508
4273,2.9313677536231886,2.9436925314366817
8082,3.5861377786873105,3.6383003182709217
17657,3.5552380952380958,3.3301687724888325
2550,3.4452380952380954,3.505011949688196
22317,3.0477142857142856,2.988125365227461
3309,3.3846875,3.4757657665759325
1283,3.5773076923076923,3.65593390353024
5835,3.085714285714286,2.9466704353690147
4926,3.217391304347826,3.238546084612608
15183,3.2876744186046514,3.3300926834344864
30841,3.698571428571429,3.5593201499432325
22301,3.6551724137931036,3.764883194118738
30933,3.3343478260869563,3.492677552625537
29784,3.891797752808989,3.8264940679073334
10523,2.5240963855421685,2.694561030715704
21283,3.6538461538461537,3.4993244782090187
14246,3.2808988764044944,2.9323774222284555
14137,2.8029940711462453,3.5283043198287487
30208,3.6043143459915616,3.657633513212204
13985,3.6243478260869564,3.2954636327922344
